SynsetTerms,PosScore,NegScore
able#1,0.125,0
unable#1,0,0.75
dorsal#2,0,0
ventral#2,0,0
acroscopic#1,0,0
basiscopic#1,0,0
abducting#1,0,0
adductive#1,0,0
nascent#1,0,0
emerging#2,0,0
dissilient#1,0.25,0
parturient#2,0.25,0
dying#1,0,0
moribund#2,0,0
last#5,0,0
abridged#1,0,0
shortened#4,0,0
half-length#2,0,0
potted#3,0,0
unabridged#1,0,0
uncut#7,0.5,0
absolute#1,0.5,0
direct#10,0.75,0
unquestioning#2,0.5,0.5
infinite#4,0.125,0
living#3,0.5,0.125
relative#1,0.25,0.5
relational#1,0,0
absorptive#1,0,0
sorbefacient#1,0.375,0
assimilatory#1,0,0.75
shock-absorbent#1,0,0
spongy#2,0,0
thirsty#4,0,0
nonabsorptive#1,0,0.5
resistant#5,0,0.5
surface-assimilative#1,0,0
chemosorptive#1,0,0.25
nonadsorptive#1,0,0.25
absorbable#1,0.5,0
adsorbate#1,0.25,0
abstemious#1,0,0
spartan#4,0.5,0.25
gluttonous#1,0,0
crapulous#2,0,0
crapulous#1,0,0.5
wolfish#2,0,0
greedy#3,0,0
swinish#2,0,0.125
too-greedy#1,0.125,0.375
abstract#1,0,0
notional#4,0.375,0
conceptual#1,0.375,0.25
ideal#2,0,0
ideological#2,0.125,0.125
concrete#1,0.625,0.25
objective#4,0,0
tangible#2,0,0
abundant#1,0,0.25
galore#2,0,0.25
rich#12,0.125,0
voluminous#3,0,0
easy#12,0.25,0.625
riotous#1,0,0.25
thick#10,0,0.5
long#9,0.125,0.375
rife#2,0.125,0.5
plentiful#1,0,0.25
rampant#3,0,0
rank#5,0,0.25
superabundant#1,0.125,0.5
teeming#1,0,0
torrential#3,0,0.375
verdant#1,0.125,0.5
scarce#1,0,0.25
rare#3,0,0.875
tight#6,0,0.625
mistreated#1,0,0.625
battered#3,0,0.75
unabused#1,0.375,0.25
acceptable#1,0.625,0
bankable#2,0.25,0
unimpeachable#3,0.25,0.625
unobjectionable#3,0,0.5
unacceptable#2,0.125,0.375
objectionable#2,0,0.375
accessible#1,0.625,0
reachable#1,0.375,0
getatable#1,0.625,0
ready_to_hand#1,0.125,0.125
unaccessible#1,0.5,0.125
remote#4,0.125,0
untrodden#1,0.125,0.25
unreached#1,0,0
ungetatable#1,0,0.625
accommodative#1,0.5,0
obliging#1,0.75,0
unobliging#1,0.25,0.25
uncooperative#2,0.125,0.25
accurate#1,0.5,0
faithful#2,0.625,0
dead-on#1,0.625,0.25
surgical#3,0.5,0
straight#5,0,0
true#2,0.125,0
veracious#2,0.875,0
inaccurate#1,0.125,0.625
outside#10,0,0
wrong#9,0.125,0.75
unfaithful#4,0,0.5
wide_of_the_mark#1,0,0.625
accustomed#1,0.125,0
wont_to#1,0,0.375
new#11,0,0.125
unused#4,0,0.125
acidic#1,0,0.125
acid#3,0,0.375
acid-forming#1,0,0.5
alkaline#1,0,0
alkalescent#1,0.125,0.375
basic#4,0.25,0
base-forming#1,0.125,0.125
saltlike#1,0.25,0.125
amphoteric#1,0.5,0
acid-loving#1,0,0.25
aciduric#1,0,0
alkaline-loving#1,0,0.25
acknowledged#1,0.125,0
recognized#1,0.5,0
self-confessed#1,0,0.125
assumptive#2,0.25,0
declarable#1,0.375,0
granted#1,0,0
putative#1,0.125,0
unacknowledged#1,0,0.625
unvalued#1,0,0.375
unavowed#3,0.25,0
unconfessed#1,0,0.375
unrecognized#1,0,0.5
acquisitive#1,0,0
accumulative#2,0.375,0
prehensile#3,0,0
possessive#2,0,0
plundering#1,0,0
predatory#3,0,0
sordid#4,0,0.5
unacquisitive#1,0,0.5
acropetal#1,0,0
basipetal#1,0,0
active#5,0.5,0.125
astir#2,0,0
gymnastic#1,0.375,0
spry#1,0,0
hot#21,0.5,0
overactive#1,0.25,0
on_the_go#1,0.125,0
sporty#3,0.25,0
inactive#9,0.375,0.5
deskbound#1,0.125,0
dormant#4,0.25,0.375
underactive#1,0,0.625
torpid#1,0.25,0.125
sedentary#1,0.125,0
active#14,0,0
activated#4,0,0.125
inactive#8,0,0.375
off#5,0,0.625
retired#1,0,0.625
active#7,0,0
brisk#3,0.25,0.125
bustling#1,0.5,0
busy#4,0.375,0.25
going#1,0,0.5
open#21,0,0
springy#2,0.125,0.375
inactive#7,0.25,0
dark#11,0,0
dead#17,0.25,0
sluggish#2,0,0.5
unused#3,0.125,0.625
strikebound#1,0,0
active#1,0.375,0.5
progressive#6,0,0.25
inactive#2,0,0.375
dead-end#1,0.125,0.125
